# Source: http://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States_by_date_of_birth
OB,OD,Name,Date of Birth,Birth Name,Cen,OO,Birthplace,State,AA
1,1,George Washington,1732-02-22,,18th,1,Pope's Creek,VA,57
2,3,John Adams,1735-10-30,"John Adams, Jr.",18th,2,Braintree,MA,61
3,2,Thomas Jefferson,1743-04-13,,18th,3,Goochland County,VA,57
4,5,James Madison,1751-03-16,"James Madison, Jr.",18th,4,Port Conway,VA,57
5,4,James Monroe,1758-04-28,,18th,5,Monroe Hall,VA,58
7,8,John Quincy Adams,1767-07-11,,18th,6,Braintree,MA,57
6,7,Andrew Jackson,1767-03-15,,18th,7,Waxhaw,NC,61
9,12,Martin Van Buren,1782-12-05,,18th,8,Kinderhook,NY,54
8,6,William Henry Harrison,1773-02-09,,18th,9,Charles City County,VA,68
11,11,John Tyler,1790-03-29,"John Tyler, Jr.",18th,10,Charles City County,VA,51
13,9,James K. Polk,1795-11-02,James Knox Polk,18th,11,Pineville,NC,49
10,10,Zachary Taylor,1784-11-24,,18th,12,Barboursville,VA,64
14,16,Millard Fillmore,1800-01-07,,18th,13,Moravia,NY,50
15,15,Franklin Pierce,1804-11-23,,19th,14,Hillsborough,NH,48
12,14,James Buchanan,1791-04-23,"James Buchanan, Jr.",18th,15,Cove Gap,PA,65
16,13,Abraham Lincoln,1809-02-12,,19th,16,Hardin County,KY,52
17,17,Andrew Johnson,1808-12-29,,19th,17,Raleigh,NC,56
18,19,Ulysses S. Grant,1822-04-27,Hiram Ulysses Simpson Grant,19th,18,Point Pleasant,OH,46
19,21,Rutherford B. Hayes,1822-10-04,Rutherford Birchard Hayes,19th,19,Delaware,OH,54
21,18,James A. Garfield,1831-11-18,James Abram Garfield,19th,20,Moreland Hills,OH,49
20,20,Chester A. Arthur,1829-10-05,Chester Alan Arthur,19th,21,Fairfield,VT,51
23,24,Grover Cleveland,1837-03-17,Stephen Grover Cleveland,19th,22,Caldwell,NJ,47
22,22,Benjamin Harrison,1833-08-19,,19th,23,North Bend,OH,55
23,24,Grover Cleveland,1837-03-17,Stephen Grover Cleveland,19th,24,Caldwell,NJ,47
24,23,William McKinley,1843-01-28,"William McKinley, Jr.",19th,25,Niles,OH,54
27,25,Theodore Roosevelt,1858-10-26,"Theodore Roosevelt, Jr.",19th,26,New York City,NY,42
26,28,William Howard Taft,1857-09-14,,19th,27,Cincinnati,OH,51
25,27,Woodrow Wilson,1856-12-27,Thomas Woodrow Wilson,19th,28,Staunton,VA,56
28,26,Warren G. Harding,1865-11-01,Warren Gamaliel Harding,19th,29,Blooming Grove,OH,55
29,29,Calvin Coolidge,1872-07-03,"John Calvin Coolidge, Jr.",19th,30,Plymouth,VT,51
30,32,Herbert Hoover,1874-08-09,Herbert Clark Hoover,19th,31,West Branch,IA,54
31,30,Franklin D. Roosevelt,1882-01-30,Franklin Delano Roosevelt,19th,32,Hyde Park,NY,51
32,34,Harry S. Truman,1884-05-08,,19th,33,Lamar,MO,60
33,33,Dwight D. Eisenhower,1890-10-14,David Dwight Eisenhower,19th,34,Denison,TX,62
38,31,John F. Kennedy,1917-05-29,John Fitzgerald Kennedy,20th,35,Brookline,MA,43
34,35,Lyndon B. Johnson,1908-08-27,Lyndon Baines Johnson,20th,36,Stonewall,TX,55
36,36,Richard Nixon,1913-01-09,Richard Milhous Nixon,20th,37,Yorba Linda,CA,56
37,38,Gerald Ford,1913-07-14,"Leslie Lynch King, Jr.",20th,38,Omaha,NE,61
40,ALIVE,Jimmy Carter,1924-10-01,"James Earl Carter, Jr.",20th,39,Plains,GA,52
35,37,Ronald Reagan,1911-02-06,Ronald Wilson Reagan,20th,40,Tampico,IL,69
39,ALIVE,George H. W. Bush,1924-06-12,George Herbert Walker Bush,20th,41,Milton,MA,64
42,ALIVE,Bill Clinton,1946-08-19,William Jefferson Blythe III,20th,42,Hope,AR,46
41,ALIVE,George W. Bush,1946-07-06,George Walker Bush,20th,43,New Haven,CT,54
43,ALIVE,Barack Obama,1961-08-04,Barack Hussein Obama II,20th,44,Honolulu,HI,47
